Input.label,Input.text,Answer.Q1Answer,Answer.html_output
1,"Hidden inside the Tropicana this place is wonderful!
Started with Heirloom tomatoes and Burrata cheese...WOW
Filet was perfect and chef did a nice veg platter for my vegetarian friend!
Reasonable and again we spent more on wine than food!
Highly recommend this place if your tired of the big steakhouses!",yes,"<span class=""active"">Hidden</span> <span class=""active"">inside</span> <span>the</span> <span class=""active"">Tropicana</span> <span class=""active"">this</span> <span class=""active"">place</span> <span>is</span> <span class=""active"">wonderful!</span> <span>Started</span> <span>with</span> <span class=""active"">Heirloom</span> <span class=""active"">tomatoes</span> <span>and</span> <span class=""active"">Burrata</span> <span class=""active"">cheese...WOW</span> <span class=""active"">Filet</span> <span>was</span> <span class=""active"">perfect</span> <span>and</span> <span class=""active"">chef</span> <span class=""active"">did</span> <span>a</span> <span class=""active"">nice</span> <span class=""active"">veg</span> <span class=""active"">platter</span> <span>for</span> <span>my</span> <span class=""active"">vegetarian</span> <span class=""active"">friend!</span> <span class=""active"">Reasonable</span> <span>and</span> <span>again</span> <span>we</span> <span class=""active"">spent</span> <span class=""active"">more</span> <span>on</span> <span class=""active"">wine</span> <span class=""active"">than</span> <span class=""active"">food!</span> <span class=""active"">Highly</span> <span class=""active"">recommend</span> <span>this</span> <span>place</span> <span>if</span> <span>your</span> <span>tired</span> <span>of</span> <span>the</span> <span>big</span> <span>steakhouses!</span> <span></span>"
1,"Hidden inside the Tropicana this place is wonderful!
Started with Heirloom tomatoes and Burrata cheese...WOW
Filet was perfect and chef did a nice veg platter for my vegetarian friend!
Reasonable and again we spent more on wine than food!
Highly recommend this place if your tired of the big steakhouses!",yes,"<span>Hidden</span> <span>inside</span> <span>the</span> <span>Tropicana</span> <span>this</span> <span>place</span> <span>is</span> <span class=""active"">wonderful!</span> <span>Started</span> <span>with</span> <span>Heirloom</span> <span>tomatoes</span> <span>and</span> <span>Burrata</span> <span class=""active"">cheese...WOW</span> <span>Filet</span> <span>was</span> <span>perfect</span> <span>and</span> <span>chef</span> <span>did</span> <span>a</span> <span>nice</span> <span>veg</span> <span>platter</span> <span>for</span> <span>my</span> <span>vegetarian</span> <span>friend!</span> <span>Reasonable</span> <span>and</span> <span>again</span> <span>we</span> <span>spent</span> <span>more</span> <span>on</span> <span>wine</span> <span>than</span> <span>food!</span> <span class=""active"">Highly</span> <span class=""active"">recommend</span> <span>this</span> <span>place</span> <span>if</span> <span>your</span> <span>tired</span> <span>of</span> <span>the</span> <span>big</span> <span>steakhouses!</span> <span></span>"
1,"Hidden inside the Tropicana this place is wonderful!
Started with Heirloom tomatoes and Burrata cheese...WOW
Filet was perfect and chef did a nice veg platter for my vegetarian friend!
Reasonable and again we spent more on wine than food!
Highly recommend this place if your tired of the big steakhouses!",yes,"<span>Hidden</span> <span>inside</span> <span>the</span> <span>Tropicana</span> <span>this</span> <span>place</span> <span>is</span> <span class=""active"">wonderful!</span> <span>Started</span> <span>with</span> <span>Heirloom</span> <span>tomatoes</span> <span>and</span> <span>Burrata</span> <span class="""">cheese...WOW</span> <span>Filet</span> <span>was</span> <span>perfect</span> <span>and</span> <span>chef</span> <span>did</span> <span>a</span> <span class=""active"">nice</span> <span>veg</span> <span>platter</span> <span>for</span> <span>my</span> <span>vegetarian</span> <span>friend!</span> <span class=""active"">Reasonable</span> <span>and</span> <span>again</span> <span>we</span> <span>spent</span> <span>more</span> <span>on</span> <span>wine</span> <span>than</span> <span>food!</span> <span>Highly</span> <span>recommend</span> <span>this</span> <span>place</span> <span>if</span> <span>your</span> <span>tired</span> <span>of</span> <span>the</span> <span>big</span> <span>steakhouses!</span> <span></span>"
1,Whenever me and my brother go Church's; their chicken has been very fresh so far. This includes their food not being salty. It always been hot so far.  The customer service is good  also.  They always offer us a drink while we wait. Keep up the good work Churh 's.,yes,"<span>Whenever</span> <span>me</span> <span>and</span> <span>my</span> <span>brother</span> <span>go</span> <span>Church's;</span> <span>their</span> <span class=""active"">chicken</span> <span class=""active"">has</span> <span class=""active"">been</span> <span class=""active"">very</span> <span class=""active"">fresh</span> <span>so</span> <span>far.</span> <span>This</span> <span>includes</span> <span>their</span> <span class=""active"">food</span> <span class=""active"">not</span> <span class=""active"">being</span> <span class=""active"">salty.</span> <span>It</span> <span class=""active"">always</span> <span class=""active"">been</span> <span class=""active"">hot</span> <span>so</span> <span>far.</span> <span>The</span> <span class=""active"">customer</span> <span class=""active"">service</span> <span>is</span> <span class=""active"">good</span> <span>also.</span> <span>They</span> <span>always</span> <span>offer</span> <span>us</span> <span>a</span> <span>drink</span> <span>while</span> <span>we</span> <span>wait.</span> <span>Keep</span> <span>up</span> <span>the</span> <span>good</span> <span>work</span> <span>Churh</span> <span>'s.</span> <span></span>"
1,Whenever me and my brother go Church's; their chicken has been very fresh so far. This includes their food not being salty. It always been hot so far.  The customer service is good  also.  They always offer us a drink while we wait. Keep up the good work Churh 's.,yes,"<span>Whenever</span> <span>me</span> <span>and</span> <span>my</span> <span>brother</span> <span>go</span> <span>Church's;</span> <span>their</span> <span>chicken</span> <span>has</span> <span>been</span> <span>very</span> <span class=""active"">fresh</span> <span>so</span> <span>far.</span> <span>This</span> <span>includes</span> <span>their</span> <span>food</span> <span>not</span> <span>being</span> <span>salty.</span> <span>It</span> <span>always</span> <span>been</span> <span class=""active"">hot</span> <span>so</span> <span>far.</span> <span>The</span> <span>customer</span> <span>service</span> <span>is</span> <span class=""active"">good</span> <span>also.</span> <span>They</span> <span>always</span> <span>offer</span> <span>us</span> <span>a</span> <span>drink</span> <span>while</span> <span>we</span> <span>wait.</span> <span>Keep</span> <span>up</span> <span>the</span> <span class=""active"">good</span> <span>work</span> <span>Churh</span> <span>'s.</span> <span></span>"
1,Whenever me and my brother go Church's; their chicken has been very fresh so far. This includes their food not being salty. It always been hot so far.  The customer service is good  also.  They always offer us a drink while we wait. Keep up the good work Churh 's.,yes,"<span>Whenever</span> <span>me</span> <span>and</span> <span>my</span> <span>brother</span> <span>go</span> <span>Church's;</span> <span>their</span> <span>chicken</span> <span>has</span> <span>been</span> <span class=""active"">very</span> <span class=""active"">fresh</span> <span>so</span> <span>far.</span> <span>This</span> <span>includes</span> <span>their</span> <span>food</span> <span class=""active"">not</span> <span>being</span> <span class=""active"">salty.</span> <span>It</span> <span class=""active"">always</span> <span>been</span> <span class=""active"">hot</span> <span>so</span> <span>far.</span> <span>The</span> <span>customer</span> <span class=""active"">service</span> <span>is</span> <span class=""active"">good</span> <span>also.</span> <span>They</span> <span>always</span> <span class=""active"">offer</span> <span>us</span> <span>a</span> <span class=""active"">drink</span> <span>while</span> <span>we</span> <span>wait.</span> <span>Keep</span> <span>up</span> <span>the</span> <span class=""active"">good</span> <span class=""active"">work</span> <span>Churh</span> <span>'s.</span> <span></span>"
1,"We absolutely love every dish they have here! Some of our favorites, though, are gobi manchurian, dosa, and the chole bhaturi. We live in North Phoenix but travel there for their tasty buffet. The staff is always friendly and courteous. If you want to try great Indian food, come here!",yes,"<span>We</span> <span>absolutely</span> <span class=""active"">love</span> <span class=""active"">every</span> <span class=""active"">dish</span> <span>they</span> <span>have</span> <span>here!</span> <span>Some</span> <span>of</span> <span>our</span> <span>favorites,</span> <span>though,</span> <span>are</span> <span>gobi</span> <span>manchurian,</span> <span>dosa,</span> <span>and</span> <span>the</span> <span>chole</span> <span>bhaturi.</span> <span>We</span> <span>live</span> <span>in</span> <span>North</span> <span>Phoenix</span> <span>but</span> <span>travel</span> <span>there</span> <span>for</span> <span>their</span> <span>tasty</span> <span>buffet.</span> <span>The</span> <span class=""active"">staff</span> <span>is</span> <span>always</span> <span class=""active"">friendly</span> <span>and</span> <span class=""active"">courteous.</span> <span>If</span> <span>you</span> <span>want</span> <span>to</span> <span>try</span> <span>great</span> <span>Indian</span> <span>food,</span> <span>come</span> <span>here!</span> <span></span>"
1,"We absolutely love every dish they have here! Some of our favorites, though, are gobi manchurian, dosa, and the chole bhaturi. We live in North Phoenix but travel there for their tasty buffet. The staff is always friendly and courteous. If you want to try great Indian food, come here!",yes,"<span>We</span> <span class=""active"">absolutely</span> <span class=""active"">love</span> <span>every</span> <span>dish</span> <span>they</span> <span>have</span> <span>here!</span> <span>Some</span> <span>of</span> <span class=""active"">our</span> <span class=""active"">favorites,</span> <span>though,</span> <span>are</span> <span>gobi</span> <span>manchurian,</span> <span>dosa,</span> <span>and</span> <span>the</span> <span>chole</span> <span>bhaturi.</span> <span>We</span> <span>live</span> <span>in</span> <span>North</span> <span>Phoenix</span> <span>but</span> <span>travel</span> <span>there</span> <span>for</span> <span>their</span> <span class=""active"">tasty</span> <span class=""active"">buffet.</span> <span>The</span> <span>staff</span> <span>is</span> <span>always</span> <span class=""active"">friendly</span> <span class=""active"">and</span> <span class=""active"">courteous.</span> <span>If</span> <span>you</span> <span>want</span> <span>to</span> <span>try</span> <span>great</span> <span>Indian</span> <span>food,</span> <span class=""active"">come</span> <span class=""active"">here!</span> <span></span>"
1,"We absolutely love every dish they have here! Some of our favorites, though, are gobi manchurian, dosa, and the chole bhaturi. We live in North Phoenix but travel there for their tasty buffet. The staff is always friendly and courteous. If you want to try great Indian food, come here!",yes,"<span>We</span> <span>absolutely</span> <span class=""active"">love</span> <span class=""active"">every</span> <span class=""active"">dish</span> <span>they</span> <span>have</span> <span>here!</span> <span>Some</span> <span>of</span> <span>our</span> <span>favorites,</span> <span>though,</span> <span>are</span> <span>gobi</span> <span>manchurian,</span> <span>dosa,</span> <span>and</span> <span>the</span> <span>chole</span> <span>bhaturi.</span> <span>We</span> <span>live</span> <span>in</span> <span>North</span> <span>Phoenix</span> <span>but</span> <span>travel</span> <span>there</span> <span>for</span> <span>their</span> <span class=""active"">tasty</span> <span class=""active"">buffet.</span> <span>The</span> <span>staff</span> <span>is</span> <span class=""active"">always</span> <span class=""active"">friendly</span> <span>and</span> <span class=""active"">courteous.</span> <span>If</span> <span>you</span> <span>want</span> <span>to</span> <span>try</span> <span class=""active"">great</span> <span class=""active"">Indian</span> <span class=""active"">food,</span> <span>come</span> <span>here!</span> <span></span>"
0,The food has gone down hill! The chicken that I had didn't have any seasoning on the chicken and the potatoes tasted plain. I know it was really bad! They try to rush you out the door once sat down. OMG! The best thing to eat was the bread sticks.,no,"<span>The</span> <span class=""active"">food</span> <span class=""active"">has</span> <span class=""active"">gone</span> <span class=""active"">down</span> <span class=""active"">hill!</span> <span>The</span> <span class=""active"">chicken</span> <span>that</span> <span>I</span> <span>had</span> <span class=""active"">didn't</span> <span class=""active"">have</span> <span class=""active"">any</span> <span class=""active"">seasoning</span> <span>on</span> <span>the</span> <span>chicken</span> <span>and</span> <span>the</span> <span class=""active"">potatoes</span> <span class=""active"">tasted</span> <span class=""active"">plain.</span> <span>I</span> <span>know</span> <span>it</span> <span>was</span> <span class=""active"">really</span> <span class=""active"">bad!</span> <span>They</span> <span class=""active"">try</span> <span class=""active"">to</span> <span class=""active"">rush</span> <span class=""active"">you</span> <span class=""active"">out</span> <span class=""active"">the</span> <span class=""active"">door</span> <span>once</span> <span>sat</span> <span>down.</span> <span>OMG!</span> <span>The</span> <span class=""active"">best</span> <span class=""active"">thing</span> <span>to</span> <span>eat</span> <span class=""active"">was</span> <span>the</span> <span class=""active"">bread</span> <span class=""active"">sticks.</span> <span></span>"
