Input.label,Input.text,Answer.Q1Answer,Answer.html_output
1,Out in Twinsburg for work and wasn't expecting to find a well reviewed sushi restaurant but glad I did.  It was quite busy for a Monday and the poor waitress was slammed but the sushi chef stepped in to help and was very friendly.  The presentation and flavors were great.,yes,"<span>Out</span> <span>in</span> <span>Twinsburg</span> <span>for</span> <span>work</span> <span>and</span> <span>wasn't</span> <span>expecting</span> <span>to</span> <span>find</span> <span>a</span> <span>well</span> <span>reviewed</span> <span>sushi</span> <span>restaurant</span> <span>but</span> <span class=""active"">glad</span> <span>I</span> <span>did.</span> <span>It</span> <span>was</span> <span>quite</span> <span>busy</span> <span>for</span> <span>a</span> <span>Monday</span> <span>and</span> <span>the</span> <span>poor</span> <span>waitress</span> <span>was</span> <span>slammed</span> <span>but</span> <span>the</span> <span>sushi</span> <span>chef</span> <span>stepped</span> <span>in</span> <span>to</span> <span>help</span> <span>and</span> <span>was</span> <span class=""active"">very</span> <span class=""active"">friendly.</span> <span>The</span> <span class=""active"">presentation</span> <span>and</span> <span class=""active"">flavors</span> <span>were</span> <span class=""active"">great.</span> <span></span>"
1,Out in Twinsburg for work and wasn't expecting to find a well reviewed sushi restaurant but glad I did.  It was quite busy for a Monday and the poor waitress was slammed but the sushi chef stepped in to help and was very friendly.  The presentation and flavors were great.,yes,"<span>Out</span> <span>in</span> <span>Twinsburg</span> <span>for</span> <span>work</span> <span>and</span> <span>wasn't</span> <span>expecting</span> <span>to</span> <span>find</span> <span>a</span> <span>well</span> <span>reviewed</span> <span>sushi</span> <span>restaurant</span> <span>but</span> <span>glad</span> <span>I</span> <span>did.</span> <span>It</span> <span>was</span> <span class=""active"">quite</span> <span class=""active"">busy</span> <span>for</span> <span>a</span> <span>Monday</span> <span>and</span> <span>the</span> <span>poor</span> <span>waitress</span> <span>was</span> <span>slammed</span> <span>but</span> <span>the</span> <span class=""active"">sushi</span> <span class=""active"">chef</span> <span class=""active"">stepped</span> <span>in</span> <span class=""active"">to</span> <span class=""active"">help</span> <span>and</span> <span>was</span> <span class=""active"">very</span> <span class=""active"">friendly.</span> <span>The</span> <span class=""active"">presentation</span> <span>and</span> <span class=""active"">flavors</span> <span class=""active"">were</span> <span class=""active"">great.</span> <span></span>"
1,Out in Twinsburg for work and wasn't expecting to find a well reviewed sushi restaurant but glad I did.  It was quite busy for a Monday and the poor waitress was slammed but the sushi chef stepped in to help and was very friendly.  The presentation and flavors were great.,yes,"<span>Out</span> <span>in</span> <span>Twinsburg</span> <span>for</span> <span>work</span> <span>and</span> <span>wasn't</span> <span>expecting</span> <span>to</span> <span>find</span> <span>a</span> <span>well</span> <span>reviewed</span> <span>sushi</span> <span>restaurant</span> <span>but</span> <span>glad</span> <span>I</span> <span>did.</span> <span>It</span> <span>was</span> <span>quite</span> <span>busy</span> <span>for</span> <span>a</span> <span>Monday</span> <span>and</span> <span>the</span> <span>poor</span> <span>waitress</span> <span>was</span> <span>slammed</span> <span>but</span> <span>the</span> <span>sushi</span> <span>chef</span> <span>stepped</span> <span>in</span> <span>to</span> <span>help</span> <span>and</span> <span>was</span> <span class=""active"">very</span> <span class=""active"">friendly.</span> <span>The</span> <span class=""active"">presentation</span> <span>and</span> <span class=""active"">flavors</span> <span>were</span> <span class=""active"">great.</span> <span></span>"
0,Very slow. Never been in the drive at any other place longer then I do at Kneader's. I don't know what they are doing different but 20 min minimum sitting in a drive through for a sandwich is ridiculous. And it's not just this location. Every. Single. One. Is SLOW!!!,no,"<span class=""active"">Very</span> <span class=""active"">slow.</span> <span>Never</span> <span>been</span> <span>in</span> <span>the</span> <span>drive</span> <span>at</span> <span>any</span> <span>other</span> <span>place</span> <span>longer</span> <span>then</span> <span>I</span> <span>do</span> <span>at</span> <span>Kneader's.</span> <span>I</span> <span>don't</span> <span>know</span> <span>what</span> <span>they</span> <span>are</span> <span>doing</span> <span>different</span> <span>but</span> <span class=""active"">20</span> <span class=""active"">min</span> <span class=""active"">minimum</span> <span class=""active"">sitting</span> <span>in</span> <span>a</span> <span class=""active"">drive</span> <span class=""active"">through</span> <span>for</span> <span>a</span> <span>sandwich</span> <span class=""active"">is</span> <span class=""active"">ridiculous.</span> <span>And</span> <span>it's</span> <span>not</span> <span>just</span> <span>this</span> <span>location.</span> <span class=""active"">Every.</span> <span class=""active"">Single.</span> <span class=""active"">One.</span> <span class=""active"">Is</span> <span class=""active"">SLOW!!!</span> <span></span>"
0,Very slow. Never been in the drive at any other place longer then I do at Kneader's. I don't know what they are doing different but 20 min minimum sitting in a drive through for a sandwich is ridiculous. And it's not just this location. Every. Single. One. Is SLOW!!!,no,"<span>Very</span> <span class=""active"">slow.</span> <span>Never</span> <span>been</span> <span>in</span> <span>the</span> <span>drive</span> <span>at</span> <span>any</span> <span>other</span> <span>place</span> <span>longer</span> <span>then</span> <span>I</span> <span>do</span> <span>at</span> <span>Kneader's.</span> <span>I</span> <span>don't</span> <span>know</span> <span>what</span> <span>they</span> <span>are</span> <span>doing</span> <span>different</span> <span>but</span> <span>20</span> <span>min</span> <span>minimum</span> <span>sitting</span> <span>in</span> <span>a</span> <span>drive</span> <span>through</span> <span>for</span> <span>a</span> <span>sandwich</span> <span>is</span> <span class=""active"">ridiculous.</span> <span>And</span> <span>it's</span> <span>not</span> <span>just</span> <span>this</span> <span>location.</span> <span>Every.</span> <span>Single.</span> <span>One.</span> <span>Is</span> <span>SLOW!!!</span> <span></span>"
0,Very slow. Never been in the drive at any other place longer then I do at Kneader's. I don't know what they are doing different but 20 min minimum sitting in a drive through for a sandwich is ridiculous. And it's not just this location. Every. Single. One. Is SLOW!!!,no,"<span>Very</span> <span class=""active"">slow.</span> <span>Never</span> <span>been</span> <span>in</span> <span>the</span> <span>drive</span> <span>at</span> <span>any</span> <span>other</span> <span>place</span> <span>longer</span> <span>then</span> <span>I</span> <span>do</span> <span>at</span> <span>Kneader's.</span> <span>I</span> <span>don't</span> <span>know</span> <span>what</span> <span>they</span> <span>are</span> <span>doing</span> <span>different</span> <span>but</span> <span>20</span> <span>min</span> <span>minimum</span> <span>sitting</span> <span>in</span> <span>a</span> <span>drive</span> <span>through</span> <span>for</span> <span>a</span> <span>sandwich</span> <span>is</span> <span class=""active"">ridiculous.</span> <span>And</span> <span>it's</span> <span>not</span> <span>just</span> <span>this</span> <span>location.</span> <span>Every.</span> <span>Single.</span> <span>One.</span> <span>Is</span> <span class=""active"">SLOW!!!</span> <span></span>"
0,"Food is good, but service terrible. They have me a to go box when I was eating in. Did not get my cup until after the fact. I had to talk to someone else for it place not clean, at least the food is good. Service kinda ruined my meal",idk,"<span>Food</span> <span>is</span> <span class=""active"">good,</span> <span>but</span> <span>service</span> <span class=""active"">terrible.</span> <span>They</span> <span>have</span> <span>me</span> <span>a</span> <span>to</span> <span>go</span> <span>box</span> <span>when</span> <span>I</span> <span>was</span> <span>eating</span> <span>in.</span> <span>Did</span> <span class=""active"">not</span> <span class=""active"">get</span> <span>my</span> <span>cup</span> <span>until</span> <span>after</span> <span>the</span> <span>fact.</span> <span>I</span> <span>had</span> <span>to</span> <span>talk</span> <span>to</span> <span>someone</span> <span>else</span> <span>for</span> <span>it</span> <span>place</span> <span class=""active"">not</span> <span class=""active"">clean,</span> <span>at</span> <span>least</span> <span>the</span> <span class=""active"">food</span> <span>is</span> <span class=""active"">good.</span> <span>Service</span> <span>kinda</span> <span class=""active"">ruined</span> <span>my</span> <span>meal</span> <span></span>"
0,"Food is good, but service terrible. They have me a to go box when I was eating in. Did not get my cup until after the fact. I had to talk to someone else for it place not clean, at least the food is good. Service kinda ruined my meal",no,"<span>Food</span> <span>is</span> <span>good,</span> <span>but</span> <span class=""active"">service</span> <span class=""active"">terrible.</span> <span>They</span> <span>have</span> <span>me</span> <span>a</span> <span>to</span> <span class=""active"">go</span> <span class=""active"">box</span> <span>when</span> <span>I</span> <span class=""active"">was</span> <span class=""active"">eating</span> <span>in.</span> <span>Did</span> <span class=""active"">not</span> <span class=""active"">get</span> <span>my</span> <span class=""active"">cup</span> <span>until</span> <span>after</span> <span>the</span> <span class=""active"">fact.</span> <span>I</span> <span class=""active"">had</span> <span>to</span> <span class=""active"">talk</span> <span>to</span> <span>someone</span> <span class=""active"">else</span> <span>for</span> <span>it</span> <span>place</span> <span class=""active"">not</span> <span class=""active"">clean,</span> <span>at</span> <span>least</span> <span>the</span> <span>food</span> <span>is</span> <span>good.</span> <span class=""active"">Service</span> <span>kinda</span> <span class=""active"">ruined</span> <span>my</span> <span class=""active"">meal</span> <span></span>"
0,"Food is good, but service terrible. They have me a to go box when I was eating in. Did not get my cup until after the fact. I had to talk to someone else for it place not clean, at least the food is good. Service kinda ruined my meal",no,"<span>Food</span> <span>is</span> <span>good,</span> <span>but</span> <span>service</span> <span class=""active"">terrible.</span> <span>They</span> <span>have</span> <span>me</span> <span>a</span> <span>to</span> <span>go</span> <span>box</span> <span>when</span> <span>I</span> <span>was</span> <span>eating</span> <span>in.</span> <span>Did</span> <span>not</span> <span>get</span> <span>my</span> <span>cup</span> <span>until</span> <span>after</span> <span>the</span> <span>fact.</span> <span>I</span> <span>had</span> <span>to</span> <span>talk</span> <span>to</span> <span>someone</span> <span>else</span> <span>for</span> <span>it</span> <span>place</span> <span class=""active"">not</span> <span class=""active"">clean,</span> <span>at</span> <span>least</span> <span>the</span> <span>food</span> <span>is</span> <span>good.</span> <span>Service</span> <span>kinda</span> <span class=""active"">ruined</span> <span>my</span> <span>meal</span> <span></span>"
1,Stopped by on a Sunday around 11am after a trip to Freedom Park and had a lovely experience here- such cool ambiance and the staff was friendly and helpful. Chicken salad was good. The homemade pita chips were ok...a little thick for me. Others in our group enjoyed their food.,yes,"<span>Stopped</span> <span>by</span> <span>on</span> <span>a</span> <span>Sunday</span> <span>around</span> <span>11am</span> <span>after</span> <span>a</span> <span>trip</span> <span>to</span> <span>Freedom</span> <span>Park</span> <span>and</span> <span>had</span> <span>a</span> <span class=""active"">lovely</span> <span>experience</span> <span>here-</span> <span>such</span> <span class=""active"">cool</span> <span>ambiance</span> <span>and</span> <span>the</span> <span>staff</span> <span>was</span> <span class=""active"">friendly</span> <span>and</span> <span class=""active"">helpful.</span> <span>Chicken</span> <span>salad</span> <span>was</span> <span class=""active"">good.</span> <span>The</span> <span>homemade</span> <span>pita</span> <span>chips</span> <span>were</span> <span class=""active"">ok...a</span> <span>little</span> <span>thick</span> <span>for</span> <span>me.</span> <span>Others</span> <span>in</span> <span>our</span> <span>group</span> <span class=""active"">enjoyed</span> <span>their</span> <span>food.</span> <span></span>"
